ciudad,robo_mercancias,esc_buenDesempeno,mortalidad_infantil,tasa_suicidios,muerte_infIntes,empl_formales,densidad_pobl,sal_trabTiemCompl,gini_salarial,diversif_econ,desempleo,tarjetasDebCred,pib,ingresos_propios,percepcionSeguridad,desastres,vivendas_deshabitadas,inversion_extranjera,empresas
Aguascalientes,16.00425653,0.338271605,10.13740751,8.818843321,2.93961444,0.564837914,88.48269275,5979.028282,0.404,715,0.063336613,1.68513408,200715910.1,0.298643782,0.367436197,0,0.199030092,271.9043178,29.56456551
Ensenada,12.02297613,0.182692308,12.19630239,8.08109273,1.864867553,0.5275768,39.5363028,6259.41487,0.398,600,0.04899233,1.405156324,28232676.9,0.262102381,0.394977539,0,0.232408208,75.61537107,29.90304687
Mexicali,18.99532109,0.17115903,7.784854919,4.499548,1.227149455,0.606891629,44.38925668,7400.100189,0.409,678,0.054264943,1.530512658,120389763.9,0.405485709,0.394977539,0,0.234024466,467.4732333,29.49238078
Tijuana,16.45091668,0.251815981,8.860406799,4.993185125,1.207143657,0.618493914,56.61646437,6217.355649,0.274,738,0.066057491,1.626829307,199718303.1,0.358771904,0.394977539,0,0.24216184,591.7630086,21.63718614
La Paz,12.82992156,0.215447154,11.73085436,8.568980291,2.980514884,0.606934813,39.37461403,7760.034557,0.338,546,0.068234686,1.901298462,18540966.7,0.405207842,0.604089379,0,0.202829925,118.3930392,40.54030516
Los Cabos,12.82992156,0.240566038,9.034443817,7.578983839,1.443615969,0.606103012,52.12613834,7795.038014,0.416,481,0.070851064,1.772570905,27038602.18,0.564268031,0.604089379,0,0.265806324,174.5232466,36.36153757
Campeche,1.028524928,0.186440678,8.908296943,9.350903441,2.877201059,0.524132147,53.22746348,6224.949264,0.298,520,0.033336482,1.88828779,18009103.14,0.255810286,0.432990572,7,0.163589132,1.398922088,25.45463327
Ciudad del Carmen,1.028524928,0.227848101,12.4,14.42668359,1.236572879,0.512175612,56.23240146,9674.084123,0.308199604,483,0.044066651,2.262775272,692643571,0.213460563,0.432990572,0,0.17629243,96.03508771,21.54486346
Saltillo,32.47796935,0.234979973,11.58204783,6.758845501,2.216014918,0.659605229,43.04320032,7083.516774,0.376333333,677,0.058442997,2.160909046,371205406.1,0.421640853,0.33425067,0,0.183042565,313.6968536,23.26772678
Monclova-Frontera,44.04246308,0.278008299,16.38888889,5.663763243,1.490464011,0.696475983,33.92047265,7438.935681,0.421666667,511,0.047312055,1.662206002,89171737.14,0.308273233,0.33425067,3,0.118711171,104.14462,28.68250297
La Laguna,24.20891457,0.22991453,13.59201185,4.488517663,3.386074728,0.575700182,52.31184713,6434.328825,0.409,717,0.054602117,1.509542789,235713337.3,0.341630696,0.247550356,3,0.221433173,294.3594573,25.76400849
Piedras Negras,38.43008432,0.2875,13.32709843,5.744155322,2.088783753,0.60799864,27.51060611,5269.390085,0.387,443,0.044406351,1.62528141,38472209.31,0.247261224,0.33425067,1,0.214161167,23.00508819,34.87053181
Tecomýn,85.06654009,0.243243243,9.61836798,6.647168306,2.658867323,0.326200026,55.85006334,5266.484897,0.426,392,0.040521614,1.169411262,6488932.287,0.182773361,0.325620194,1,0.172178549,10.86861321,17.94000723
Colima-Villa de ýlvarez,85.06654009,0.390804598,8.74918989,6.77690431,2.258968103,0.468866196,50.13090238,6742.860644,0.3966,577,0.059253871,1.66975887,18869044.66,0.246165605,0.325620194,1,0.217538347,26.80383933,27.77482109
Manzanillo,85.06654009,0.254054054,11.38888889,4.452706689,0.556588336,0.5119682,42.84365337,8112.091531,0.419,445,0.042096949,1.915642383,16653081.04,0.296467007,0.325620194,0,0.254506789,23.49828181,24.28108261
Tuxtla Gutiýrrez,61.13100972,0,12.26613803,4.205014819,3.933723541,0.457638867,52.73623898,6056.296727,0.398,618,0.077582885,2.418555058,38194967.99,0.129705396,0.570633363,0,0.163085115,14.24980068,16.75770648
Tapachula,93.84876001,0,10.07418262,10.22109693,7.30078352,0.347716773,70.86253014,4436.28013,0.398,496,0.064618116,1.502070291,13043725.73,0,0.570633363,3,0.174738306,3.789898855,17.6890955
