state,cigarrettes,bladder,lung,kidney,leukemia
California,2860,4.46,22.07,2.66,7.06
Idaho,2010,3.08,13.58,2.46,6.62
Illinois,2791,4.75,22.80,2.95,7.27
Indiana,2618,4.09,20.30,2.81,7.00
Iowa,2212,4.23,16.59,2.90,7.69
Kansas,2184,2.91,16.84,2.88,7.42
Kentucky,2344,2.86,17.71,2.13,6.41
Massachusetts,2692,4.69,22.04,3.03,6.89
Minnesota,2206,3.72,14.20,3.54,8.28
New York,2914,5.30,25.02,3.10,7.23
Alaska,3034,3.46,25.88,4.32,4.90
Nevada,4240,6.54,23.03,2.85,6.67
Utah,1400,3.31,12.01,2.20,6.71
Texas,2257,3.21,20.74,2.69,7.02
