ciudad,clave_ciudad,entidad,indice_resiliencia,robo_mercancias,esc_buenDesempeno,mortalidad_infantil,tasa_suicidios,agresiones_periodistas,muerte_infIntes,areaVerde_percapita,empl_formales,viv_deshabitadas,densidad_pobl,sal_trabTiemCompl,gini_salarial,diversif_econ,desempleo,trans_masivo,tarjetasDebCred,ciudad_front,pib,ingresos_propios
Aguascalientes,1,Aguascalientes,100,16.00425653,0.338271605,10.13740751,8.818843321,1,2.93961444,4.796954342,0.564837914,0.199030092,88.48269275,5979.028282,0.404,715,0.063336613,1,1.68513408,0,200715910.1,0.298643782
Ensenada,55,Baja California,100,12.02297613,0.182692308,12.19630239,8.08109273,0,1.864867553,0.94126245,0.5275768,0.232408208,39.5363028,6259.41487,0.398,600,0.04899233,2,1.405156324,1,28232676.9,0.262102381
Mexicali,3,Baja California,100,18.99532109,0.17115903,7.784854919,4.499548,4,1.227149455,1.779535773,0.606891629,0.234024466,44.38925668,7400.100189,0.409,678,0.054264943,2,1.530512658,2,120389763.9,0.405485709
Tijuana,2,Baja California,100,16.45091668,0.251815981,8.860406799,4.993185125,2,1.207143657,1.160801559,0.618493914,0.24216184,56.61646437,6217.355649,0.274,738,0.066057491,2,1.626829307,2,199718303.1,0.358771904
La Paz,56,Baja California Sur,100,12.82992156,0.215447154,11.73085436,8.568980291,3,2.980514884,0.28690172,0.606934813,0.202829925,39.37461403,7760.034557,0.338,546,0.068234686,2,1.901298462,1,18540966.7,0.405207842
Los Cabos,57,Baja California Sur,100,12.82992156,0.240566038,9.034443817,7.578983839,0,1.443615969,0.848560223,0.606103012,0.265806324,52.12613834,7795.038014,0.416,481,0.070851064,2,1.772570905,1,27038602.18,0.564268031
Campeche,58,Campeche,100,1.028524928,0.186440678,8.908296943,9.350903441,3,2.877201059,0.218826643,0.524132147,0.163589132,53.22746348,6224.949264,0.298,520,0.033336482,2,1.88828779,1,18009103.14,0.255810286
Ciudad del Carmen,59,Campeche,75,1.028524928,0.227848101,12.4,14.42668359,3,1.236572879,0.265717594,0.512175612,0.17629243,56.23240146,9674.084123,0.308199604,483,0.044066651,2,2.262775272,1,692643571,0.213460563
Saltillo,5,Coahuila,91.66666667,32.47796935,0.234979973,11.58204783,6.758845501,4,2.216014918,3.807876556,0.659605229,0.183042565,43.04320032,7083.516774,0.376333333,677,0.058442997,1,2.160909046,0,371205406.1,0.421640853
Monclova-Frontera,6,Coahuila,100,44.04246308,0.278008299,16.38888889,5.663763243,3,1.490464011,2.236967592,0.696475983,0.118711171,33.92047265,7438.935681,0.421666667,511,0.047312055,2,1.662206002,0,89171737.14,0.308273233
La Laguna,4,Coahuila,100,24.20891457,0.22991453,13.59201185,4.488517663,0,3.386074728,2.607631069,0.575700182,0.221433173,52.31184713,6434.328825,0.409,717,0.054602117,1,1.509542789,0,235713337.3,0.341630696
Piedras Negras,7,Coahuila,100,38.43008432,0.2875,13.32709843,5.744155322,0,2.088783753,1.541142462,0.60799864,0.214161167,27.51060611,5269.390085,0.387,443,0.044406351,2,1.62528141,2,38472209.31,0.247261224
Tecomán,9,Colima,75,85.06654009,0.243243243,9.61836798,6.647168306,0,2.658867323,0.493628198,0.326200026,0.172178549,55.85006334,5266.484897,0.426,392,0.040521614,2,1.169411262,0,6488932.287,0.182773361
Colima-Villa de ýlvarez,8,Colima,95,85.06654009,0.390804598,8.74918989,6.77690431,2,2.258968103,2.557311894,0.468866196,0.217538347,50.13090238,6742.860644,0.3966,577,0.059253871,2,1.66975887,0,18869044.66,0.246165605
Manzanillo,60,Colima,100,85.06654009,0.254054054,11.38888889,4.452706689,0,0.556588336,0.401580194,0.5119682,0.254506789,42.84365337,8112.091531,0.419,445,0.042096949,2,1.915642383,1,16653081.04,0.296467007
Tuxtla Gutiérrez,10,Chiapas,75,61.13100972,0,12.26613803,4.205014819,1,3.933723541,1.194550122,0.457638867,0.163085115,52.73623898,6056.296727,0.398,618,0.077582885,0,2.418555058,0,38194967.99,0.129705396
Tapachula,61,Chiapas,75,93.84876001,0,10.07418262,10.22109693,0,7.30078352,0.093315707,0.347716773,0.174738306,70.86253014,4436.28013,0.398,496,0.064618116,2,1.502070291,2,13043725.73,0
Chihuahua,12,Chihuahua,100,89.30415553,0.230645161,13.38333226,10.72199955,0,7.074308984,2.17855909,0.721270027,0.205441298,34.36770112,6571.055383,0.411,705,0.051735423,3,2.000295286,0,139552081.3,0.404841925
Juárez,11,Chihuahua,100,4.006250828,0.180589681,13.89236546,4.132935508,2,2.392752136,2.010998223,0.673300822,0.254106476,40.8861806,6382.725115,0.431,640,0.037339213,3,1.693370952,2,157866880,0.431366291
Valle de México,13,Ciudad de Mýxico,94.07894737,153.6172689,0.318222585,11.7127679,4.452684296,77,3.135693166,1.434705771,0.465706276,0.138569562,104.1326609,5911.198739,0.374644737,918,0.069171564,3,2.878761394,0,4070736210,0.40876432
Durango,62,Durango,100,51.56882658,0.280597015,16.18145845,7.972935791,0,3.126641487,1.752614908,0.541447096,0.178803655,68.10978792,5260.11524,0.336,619,0.065190562,1,1.691551109,0,35118191.41,0.308262587
Celaya,63,Guanajuato,91.66666667,69.12781722,0.225969646,10.2915952,8.428404678,1,3.33955657,0.551021554,0.461964832,0.19624868,75.60419036,5414.289302,0.345333333,615,0.046162108,0,1.481504811,0,99633068.91,0.370036174
Guanajuato,64,Guanajuato,100,1382.149289,0.182741117,12.82782212,7.156186523,0,1.651427659,0.443209738,0.393673152,0.171360132,68.47159695,5723.31526,0.348,371,0.05807711,2,2.547278779,0,10045935.63,0.382613157
Irapuato,65,Guanajuato,100,19.29580548,0.241293532,14.13673233,7.609703611,2,2.47757792,0.038350627,0.416821056,0.16516387,86.51246815,6244.590975,0.412977082,586,0.060411671,0,1.330336476,0,65280429.71,0.328341626
León,14,Guanajuato,75,54.56462783,0.209613869,8.565809223,7.203572972,4,2.650914854,1.145499302,0.501654511,0.167141313,87.83547059,5823.083521,0.3825,734,0.05870723,3,1.476240823,0,301772896.8,0.314129028
La Piedad-Pénjamo,26,Guanajuato,87.5,183.9719348,0.247734139,13.25255585,5.526890295,0,2.763445148,0.3434672,0.380391297,0.236385473,72.512508,5202.265085,0.3875,456,0.044069111,2,1.089467951,0,11322125.82,0.159560435
San Francisco del Rincón,15,Guanajuato,100,70.98167989,0.203539823,13.02708262,9.194791661,0,0,0.299582676,0.340929576,0.200345457,77.86563174,5192.024498,0.385,435,0.041017027,2,0.926068694,0,15891564.38,0.245025022
Acapulco,16,Guerrero,62.5,18.67299958,0,10.33947958,1.586914754,10,1.586914754,0.301915774,0.336454647,0.29188904,65.63712825,4915.402627,0.281,570,0.027579944,2,1.377603467,1,30312946.29,0.253725465
Chilpancingo,77,Guerrero,75,41.61839056,0,10.02587322,2.626464254,4,1.500836716,0.066352149,0.384772535,0.194760563,67.83134147,5672.415392,0.408,452,0.012387705,2,3.27500114,0,7792089.419,0.12020729
Tula,19,Hidalgo,100,29.38654707,0.208737864,9.433962264,4.974359438,0,0.904428989,0.298221108,0.433598963,0.225873395,29.32522846,6417.501784,0.3794,439,0.060146259,2,1.581640338,0,222147015.1,0.25139737
Tulancingo,18,Hidalgo,91.66666667,90.18861491,0.329861111,13.81934709,3.555260601,0,0,0.160765756,0.205979532,0.229450781,39.13772203,5258.635301,0.391666667,473,0.071404379,2,1.326672657,0,6228808.887,0.190102237
Pachuca,17,Hidalgo,100,29.38654707,0.389328063,11.9694115,6.208254056,0,3.469318443,1.339689736,0.454665643,0.30964563,41.92091091,6602.164587,0.378285714,598,0.0585952,2,2.212807139,0,28122785.68,0.484596063
Guadalajara,20,Jalisco,96.875,133.0933003,0.224924012,10.47333041,6.146235907,5,2.373718695,1.465087513,0.540875246,0.186216481,84.82146293,6809.734497,0.403,850,0.054949668,3,1.8351351,0,609056590,0.427691611
