ciudad,cve_ent,year,Porcentaje de vivienda con disposición adecuada de residuos,Existencia de aprovechamiento o quema de biogás en rellenos sanitarios,Porcentaje de las vivienda que regalan o venta de residuos reciclables,Porcentaje de las viviendas que realizan separación básica de residuos,Índice de disponibilidad de acuíferos,Consumo de agua (Metros cúbicos per cápita),Índice de calidad del agua superficial,Capacidad de tratamiento de agua en operación,Número de emergencias ambientales reportadas,Índice de Resiliencia a desastres naturales,Número de declaratorias de desastre en los últimos tres años ,Intensidad energética en la economía  (KWh al año por cada millón de PIB),Porcentaje de viviendas que cuentan con electricidad o boiler,"Número de empresas certificadas como ""limpia"" (de cada mil)",Índice de gestión de calidad del aire,Porcentaje de hogares con Agua surtida por pipas,Áreas verdes urbanas per cápita (m2 por habitante),Viviendas intraurbanas (porcentaje de las viviendas vigentes),Viviendas deshabitadas (porcentaje de las viviendas vigentes),Crecimiento de la mancha urbana (Tasa promedio de crecimiento anual),"Sistema de transporte masivo (no hay,  aprobado, en construcción, listo)",Red carretera avanzada (porcentaje del total de la red),Número de aerolineas que operan en ele aeropuerto,Número de líneas de autobús,Porcentaje de fondos federales para movilidad (transporte no motorizado),Porcentaje de las personas que viajan a la escuela o el trabajo en automóvil particular ,Porcentaje de personas que llegan a la escuela o al trabajo en menos de 30 minutos 
Aguascalientes,Aguascalientes,2008,1,1,0.65,0.5,2,112.77,3.33,3.36,3,100,7,14834.58,0.16,0.98,2,0,4.8,0.35,0.2,0,0,0.83,13,9,0.01,0.35,0.81
Ensenada,Baja California,2008,0.92,0,0.49,0.27,2.11,121.35,3,1.11,1,100,0,32168.28,0.04,0.18,4,0.06,0.94,0.36,0.23,0,2,0.42,0,5,0,0.42,0.83
Mexicali,Baja California,2008,0.97,0,0.42,0.18,2.02,36.24,2.67,2.22,0,100,0,33180.42,0.01,0.77,6,0,1.78,0.4,0.23,0.01,0,0.26,4,7,0.02,0.57,0.81
Tijuana,Baja California,2008,0.97,0,0.44,0.24,2.13,106.79,3,1.56,1,100,3,20273.39,0.04,0.57,6,0.01,1.16,0.24,0.24,0,0,0.46,9,10,0.02,0.4,0.73
La Paz,Baja California Sur,2008,0.97,0,0.36,0.21,2.08,90.14,2,1.51,4,100,3,37350.07,0.02,0.86,1,0.02,0.29,0.12,0.2,0.02,2,0.41,7,2,0.67,0.56,0.85
Los Cabos,Baja California Sur,2008,0.94,0,0.41,0.24,2.01,108.25,3,1.37,1,100,1,30928.63,0.03,0,0,0.01,0.85,0.43,0.27,0.02,2,0.39,22,2,0,0.39,0.79
Campeche,Campeche,2008,0.93,0,0.59,0.4,3,303.59,4.67,0.13,0,100,1,32802.6,0,0.32,1,0,0.22,0.77,0.16,0.01,2,0.81,4,3,0,0.34,0.76
Ciudad del Carmen,Campeche,2008,0.89,0,0.41,0.34,3.01,116.79,4.67,0.07,2,75,1,12635.05,0.02,4.35,0,0.01,0.27,0.9,0.18,0.01,2,0.67,6,3,0,0.31,0.84
Saltillo,Coahuila,2008,0.97,0,0.54,0.32,2.03,5.06,4,0.48,4,91.67,0,13036.93,0.02,1.06,3,0,3.81,0.49,0.18,0,0,0.26,6,0,0,0.36,0.76
Monclova-Frontera,Coahuila,2008,0.99,0,0.4,0.21,2.16,156.96,4.33,1.49,0,100,0,29053.89,0.01,0.74,3,0,2.24,0.98,0.12,0,2,0.41,0,0,0,0.41,0.85
La Laguna,Coahuila,2008,0.93,0,0.64,0.44,2,118.89,4.33,1.75,2,100,3,12431.05,0.01,0.93,5.5,0,2.61,0.64,0.22,0,0,0.54,10,3,0.01,0.32,0.83
Piedras Negras,Coahuila,2008,0.99,0,0.41,0.21,3,79.75,3.67,2.16,0,100,0,46406.63,0.01,1.39,3,0,1.54,0.48,0.21,0,2,0.63,3,0,0.02,0.42,0.84
Tecomán,Colima,2008,0.94,0,0.42,0.19,3,139.03,3.67,0.37,1,75,2,35179.56,0,2.42,1,0,0.49,0.88,0.17,0.01,2,0.72,0,0,0.02,0.23,0.87
Colima-Villa de Álvarez,Colima,2008,0.99,0,0.62,0.36,2.48,127.27,4.33,1.85,3,95,0,37090.56,0.05,0.68,1.4,0,2.56,0.47,0.22,0.01,2,0.57,4,3,0.05,0.41,0.86
Manzanillo,Colima,2008,0.95,0,0.47,0.28,2.89,8.32,4.33,2.13,0,100,0,58762.93,0.01,0.97,1,0,0.4,0.49,0.25,0.02,2,0.76,10,3,0,0.29,0.82
Tuxtla Gutiérrez,Chiapas,2008,0.96,0,0.46,0.41,3.43,96.75,3.33,1.21,2,75,0,25494.88,0.01,0.37,2.67,0.11,1.19,0.3,0.16,0,0,0.51,9,3,0,0.21,0.73
Tapachula,Chiapas,2008,0.74,0,0.56,0.42,3,59.04,3.33,0.66,1,75,0,40816.79,0,0,2,0,0.09,0.26,0.17,0.01,2,0.36,2,3,0.02,0.14,0.85
Chihuahua,Chihuahua,2008,0.99,0,0.5,0.24,2.25,215.6,3.33,2.68,6,100,5,20634.11,0.02,1.86,2.33,0,2.18,0.27,0.21,0.01,0,0.65,15,6,0.04,0.51,0.79
Juárez,Chihuahua,2008,1,1,0.44,0.23,2.09,100.16,3,2.15,1,100,2,25719.63,0.02,2.76,3,0.02,2.01,0.74,0.25,0,0,0.45,6,6,0,0.39,0.73
Valle de México,Ciudad de México,2008,0.99,1,0.47,0.64,2.05,101.2,2,0.35,15,94.08,2,5547.46,0.03,0.55,11.96,0.02,1.43,0.41,0.14,0,3,0.88,28,33,0.12,0.19,0.59
Durango,Durango,2008,0.97,1,0.48,0.35,2.28,118.68,3.33,2.97,0,100,2,25514.86,0.1,0.99,4,0,1.75,0.36,0.18,0.02,0,0.4,7,2,0.01,0.32,0.84
Celaya,Guanajuato,2008,0.98,0,0.6,0.36,2,96.88,1.67,0.04,5,91.67,0,31935.14,0.08,0.36,7.33,0,0.55,0.27,0.2,0.01,0,0.43,0,5,0,0.26,0.81
Guanajuato,Guanajuato,2008,0.88,0,0.56,0.37,2,139.72,2.67,7.25,3,100,0,57441.64,0.05,0,10,0,0.44,0.75,0.17,0.01,2,0.59,0,4,0,0.16,0.74
